id_coleccion|nombre
1|Death cast
2|Llámame por tu nombre
3|Rebecka Martinsson
4|Quirke
5|Nacidos de la bruma
6|El cementerio de los libros olvidados
7|Trilogía de la niebla
8|Eragon
9|La asistenta
10|Alice in Borderland
11|Harry Potter
12|Miren Triggs
13|Hijos de la Tierra
14|Bloodsworn
15|Los Bridgerton
16|Parque Jurásico
17|Blackwater
18|La guerra de la amapola
19|Empíreo
20|Bat Pat
21|Los juegos del hambre
22|Antes de que se enfríe el café
23|Seis de cuervos
24|El asesinato del filósofo
25|El asesinato de Pitágoras
26|All for the game
27|Crónica del asesino de reyes
28|Robot salvaje
29|Percy Jackson
30|La reina roja
36|Crepúsculo
37|El arco de la guadaña
38|El cuento de la criada
39|Las crónicas de Dune
40|Verano
41|Asesinato para principiantes
42|ACOTAR
43|Trono de cristal
44|Ciudad Medialuna
45|El archivo de las tormentas
46|Valeria
