id_genero|nombre
1|Clásico
2|Ficción
3|Joven adulto
4|Novela
5|Fantasía
6|Romance
7|Mitología
8|Ficción histórica
9|LGBT
10|Contemporáneo
11|Realismo mágico
12|Naturaleza
13|Terror
14|Salud mental
15|Adulto
16|Drama
17|Gótico
18|Thriller
19|Misterio
20|Literatura española
21|Literatura asiática
22|Histórica
23|Ciencia ficción
24|Distopía
25|Acción
26|Familia
27|Filosofía
28|Poesía
29|Bélico
30|Autobiografía
31|Psicología
32|Teatro
33|Infantil
34|Arte
35|Paleontología
36|Novela gráfica
37|Policíaca
38|Humor
39|Música
40|Informática
41|Relatos
42|Feminismo
43|Biología
44|Romantasy
45|Magia
