id_libro|titulo|autor|año_publicacion|numero_paginas|editorial|sinopsis|portada|isbn|id_coleccion|num_coleccion|activo
1|El guardián entre el centeno|J.D. Salinger|1951|266|Alianza|Las peripecias del adolescente Holden Caulfield en una Nueva York que se recupera de la guerra influyeron en sucesivas generaciones de todo el mundo. En su confesión sincera y sin tapujos, muy lejos de la visión almibarada de la adolescencia que imperó hasta entonces, Holden nos desvela la realidad de un muchacho enfrentado al fracaso escolar, a las rígidas normas de una familia tradicional, a la experiencia de la sexualidad más allá del mero deseo.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/1.jpg|9788420660851|||true
2|La canción de Aquiles|Madeline Miller|2011|497|Suma de letras|Dioses, héroes y hombres en un mundo aparentemente gobernado por el Destino. La más grande epopeya de nuestra civilización sigue presente hoy más que nunca.\nEl joven príncipe Patroclo mata por accidente a un muchacho. Repudiado por su padre, es exiliado al reino de Ftía, donde lo acoge el rey Peleo, un hombre bendecido por los dioses, inteligente, apuesto, valiente y reconocido por su piedad. Tanto que se le concedió el más alto honor, la posibilidad de engendrar un hijo con una diosa: Aquiles.\nAquiles es fuerte, noble, luminoso. Patroclo no puede evitar admirar hasta el último de sus gestos; su belleza y perfección hacen que sea incapaz de contemplarlo sin una punzada de dolor. Por eso no se explica que Aquiles lo escoja como hermano de armas, un puesto de la más alta estima que lo unirá a él por lazos de sangre y lealtad, pero también de amor. Así emprenden juntos el camino de la vida, compartiendo cada instante, cada experiencia, cada aprendizaje y preparándose para el cumplimiento de una profecía: el destino de Aquiles como mejor guerrero de su generación.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/2.jpg|9788483653371|||true
3|Canto yo y la montaña baila|Irene Solà|2019|200|Anagrama|Primero llegan la tormenta y el rayo y la muerte de Domènec, el campesino poeta. Luego, Dolceta, que no puede parar de reír mientras cuenta las historias de las cuatro mujeres a las que colgaron por brujas. Sió, que tiene que criar sola a Mia e Hilari ahí arriba en Matavaques. Y las trompetas de los muertos, que, con su sombrero negro y apetitoso, anuncian la inmutabilidad del ciclo de la vida.\nCanto yo y la montaña baila es una novela en la que toman la palabra mujeres y hombres, fantasmas y mujeres de agua, nubes y setas, perros y corzos que habitan entre Camprodon y Prats de Molló, en los Pirineos. Una zona de alta montaña y de frontera que, más allá de la leyenda, conserva la memoria de siglos de lucha por la supervivencia, de persecuciones guiadas por la ignorancia y el fanatismo, de guerras fratricidas, pero que encarna también una belleza a la que no le hacen falta muchos adjetivos. Un terreno fértil para liberar la imaginación y el pensamiento, las ganas de hablar y de contar historias. Un lugar, quizás, para empezar de nuevo y encontrar cierta redención.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/3.jpg|9788433998774|||true
4|Te di ojos y miraste las tinieblas|Irene Solà|2024|176|Anagrama|Escondida entre riscos lejanos, en algún remoto lugar de las Guillerías transitado por cazadores de lobos, bandoleros, emboscados, carlistas, hechiceras, maquis, pilotos de rally, fantasmas, bestias y demonios, la masía Clavell se agarra al suelo como una garrapata. Es una casa, sobre todo, habitada por mujeres, y donde un solo día contiene siglos de recuerdos. Los de Joana, que para encontrar marido hizo un pacto que inauguró una progenie aparentemente maldita. Los de Bernadeta, a quien le faltan las pestañas y, de tanta agua de tomillo que le vertieron en los ojos cuando era una niña, acabó por ver lo que no debía. Los de Margarida, que en vez de un corazón entero tiene uno de tres cuartos, rabioso. O los de Blanca, que nació sin lengua, con la boca como un nido vacío, y no habla, solo observa. Estas mujeres, y más, hoy preparan una fiesta.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/4.jpg|9788433906281|||true
5|Tan poca vida|Hanya Yanagihara|2015|1008|Lumen|Para saber... Qué dicen y qué callan los hombres, De dónde viene y adónde va la culpa, Cuánto importa el sexo, A quién podemos llamar amigo, Y finalmente... Qué precio tiene la vida cuando ya no tiene valor.\nPara descubrir eso y más, aquí está Tan poca vida, una historia que recorre más de tres décadas de amistad en la vida de cuatro hombres que crecen juntos en Manhattan. Cuatro hombres que tienen que sobrevivir al fracaso y al éxito y que, a lo largo de los años, aprenden a sobreponerse a las crisis económicas, sociales y emocionales. Cuatro hombres que comparten una idea muy peculiar de la intimidad, una manera de estar juntos hecha de pocas palabras y muchos gestos. Cuatro hombres cuya relación la autora utiliza para realizar una minuciosa indagación de los límites de la naturaleza humana.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/5.jpg|9786073148122|||true
6|La riada|Michael McDowell|1983|260|Blackie Books|Las gélidas y oscuras aguas del río Blackwater inundan Perdido, un pequeño pueblo al sur de Alabama. Allí, los Caskey, un gran clan de ricos terratenientes, intentan hacer frente a los daños causados por la riada. Liderados por Mary-Love, la incontestable matriarca, y Óscar, su obediente hijo, los Caskey trabajan por recomponerse y salvaguardar su fortuna. Pero no cuentan con la aparición de la misteriosa Elinor Dammert. Una joven hermosa pero parca en palabras con un único lente: acercarse a los Caskey cueste lo que cueste.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/6.jpg|9788419654892|17|1|true
7|El dique|Michael McDowell|1983|272|Blackie Books|Mientras Perdido se recupera de la inundación, se propone la construcción de un dique que impida una nueva catástrofe. Sin embargo con las obras comenzarán las corrientes impredecibles y las desapariciones. Mientras tanto, en el clan Caskey, la matriarca Mary-Love ve cómo sus intereses chocan con los de Elinor, su misteriosa nuera. Las tensiones entre ambas amenazan con destruir el pueblo entero. En Perdido se avecinan grandes cambios, y las consecuencias serán devastadoras.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/7.jpg|9788419654915|17|2|true
8|La casa|Michael McDowell|1983|272|Blackie Books|Perdido, 1928. El clan Caskey se desmorona con la cruenta guerra personal entre Mary-Love y Elinor. En los recovecos del caserón donde viven Elinor y Oscar se esconden crisis conyugales y existenciales con repercusiones que desafían la imaginación, mientras los peores recuerdos, aquellos que uno se esfuerza por mantener ocultos, acechan para tejer sus mortíferas redes y salir a flote.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/8.jpg|9788419654939|17|3|true
9|Tokio Blues: Norwegian Wood|Haruki Murakami|1987|384|Tusquets|Mientras aterriza en un aeropuerto europeo, Toru Watanabe escucha una vieja canción de los Beatles que le hace retroceder a su juventud, al turbulento Tokio de los años sesenta. Recuerda entonces con melancolía a la misteriosa Naoko, la novia de su mejor amigo de la adolescencia. El suicidio de éste les distanció durante un año, hasta que se reencontraron e iniciaron una relación íntima. Sin embargo, la aparición de otra mujer en su vida lleva a Toru a experimentar el deslumbramiento y el desengaño allí donde todo debería cobrar sentido: el sexo, el amor y la muerte.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/9.jpg|9788483835043|||true
10|Invisible|Eloy Moreno|2020|296|Nube de tinta|¿Quién no ha deseado alguna vez ser invisible? ¿Quién no ha deseado alguna vez dejar de serlo? El problema es que nunca he llegado a controlar bien ese poder: A veces, cuando más ganas tenía de ser invisible, era cuando más gente me veía, y en cambio, cuando deseaba que todos me vieran, era cuando a mi cuerpo le daba por desaparecer.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/10.jpg|9788416588435|||true
