id_usuario|id_libro|estado_lectura|fecha_inicio|fecha_fin|progreso|calificacion|reseña|tipo_progreso
2|1|3|01/01/2025||42|0||paginas
2|40|0|||0|0||porcentaje
2|63|0|||0|0||porcentaje
4|99|0|||0|0||porcentaje
4|77|0|||0|0||porcentaje
5|40|0|||0|0||porcentaje
6|73|0|||0|0||porcentaje
6|65|0|||0|0||porcentaje
2|95|0|||0|0||porcentaje
2|11|2|16/09/2024|30/09/2024|100|3||porcentaje
4|25|2|19/04/2024|21/05/2024|100|2||porcentaje
5|89|1|01/01/2025||658|0||paginas
6|24|1|05/03/2025||12|0||porcentaje
25|170|2|01/03/2025|05/03/2025|100|2.5||porcentaje
25|200|2|01/03/2025|05/03/2025|100|2.5||porcentaje
25|165|2|01/03/2025|05/03/2025|100|3||porcentaje
25|188|2|01/03/2025|05/03/2025|100|0.5||porcentaje
25|201|2|01/03/2025|05/03/2025|100|1.5||porcentaje
34|19|2|01/03/2025|05/03/2025|100|1||porcentaje
40|106|2|01/03/2025|05/03/2025|100|0.5||porcentaje
25|153|2|01/03/2025|05/03/2025|100|3||porcentaje
25|151|2|01/03/2025|05/03/2025|100|2||porcentaje
25|154|2|01/03/2025|05/03/2025|100|2.5||porcentaje
25|157|2|01/03/2025|05/03/2025|100|3||porcentaje
25|162|2|01/03/2025|05/03/2025|100|2.5||porcentaje
25|171|2|01/03/2025|05/03/2025|100|2||porcentaje
25|175|2|01/03/2025|05/03/2025|100|2.5||porcentaje
162|134|2|01/03/2025|05/03/2025|100|4.5||porcentaje
163|2|2|01/03/2025|05/03/2025|100|4||porcentaje
163|3|2|01/03/2025|05/03/2025|100|5||porcentaje
163|4|2|01/03/2025|05/03/2025|100|4||porcentaje
163|87|2|01/03/2025|05/03/2025|100|4.5||porcentaje
163|93|2|01/03/2025|05/03/2025|100|5||porcentaje
163|100|2|01/03/2025|05/03/2025|100|4.5||porcentaje
163|107|2|01/03/2025|05/03/2025|100|4.5||porcentaje
163|109|2|01/03/2025|05/03/2025|100|4.5||porcentaje
70|159|2|01/03/2025|05/03/2025|100|4.5||porcentaje
70|163|2|01/03/2025|05/03/2025|100|4.5||porcentaje
25|94|2|01/03/2025|05/03/2025|100|5||porcentaje
70|166|2|01/03/2025|05/03/2025|100|5||porcentaje
70|168|2|01/03/2025|05/03/2025|100|4||porcentaje
164|53|2|01/03/2025|05/03/2025|100|4||porcentaje
164|87|2|01/03/2025|05/03/2025|100|4||porcentaje
54|27|2|01/03/2025|05/03/2025|100|1.5||porcentaje
67|19|2|01/03/2025|05/03/2025|100|0.5||porcentaje
25|209|2|01/03/2025|05/03/2025|100|1||porcentaje
25|48|2|01/03/2025|05/03/2025|100|2.5||porcentaje
25|216|2|01/03/2025|05/03/2025|100|2||porcentaje
25|218|2|01/03/2025|05/03/2025|100|2.5||porcentaje
25|63|2|01/03/2025|05/03/2025|100|3||porcentaje
25|89|2|01/03/2025|05/03/2025|100|2.5||porcentaje
25|226|2|01/03/2025|05/03/2025|100|4||porcentaje
25|95|2|01/03/2025|05/03/2025|100|3.5||porcentaje
73|106|2|01/03/2025|05/03/2025|100|1.5||porcentaje
80|28|2|01/03/2025|05/03/2025|100|1.5||porcentaje
70|183|2|01/03/2025|05/03/2025|100|4.5||porcentaje
164|92|2|01/03/2025|05/03/2025|100|4||porcentaje
164|93|2|01/03/2025|05/03/2025|100|4.5||porcentaje
70|185|2|01/03/2025|05/03/2025|100|4.5||porcentaje
164|100|2|01/03/2025|05/03/2025|100|5||porcentaje
70|186|2|01/03/2025|05/03/2025|100|4.5||porcentaje
164|109|2|01/03/2025|05/03/2025|100|4||porcentaje
26|94|2|01/03/2025|05/03/2025|100|4.5||porcentaje
70|195|2|01/03/2025|05/03/2025|100|4.5||porcentaje
164|131|2|01/03/2025|05/03/2025|100|4||porcentaje
70|202|2|01/03/2025|05/03/2025|100|5||porcentaje
2|32|2|01/02/2025|26/04/2025|296|0||paginas
2|89|2||26/04/2025|105|0||paginas
3|86|1|28/02/2025||99|0||porcentaje
2|71|3|09/12/2023||21|0|     |porcentaje
4|9|2|05/09/2023|18/09/2023|100|5|murakami me arruinó la vida|porcentaje
70|203|2|01/03/2025|05/03/2025|100|4.5||porcentaje
70|206|2|01/03/2025|05/03/2025|100|4||porcentaje
70|210|2|01/03/2025|05/03/2025|100|5||porcentaje
70|212|2|01/03/2025|05/03/2025|100|4.5||porcentaje
70|213|2|01/03/2025|05/03/2025|100|4.5||porcentaje
70|219|2|01/03/2025|05/03/2025|100|5||porcentaje
70|220|2|01/03/2025|05/03/2025|100|4||porcentaje
70|224|2|01/03/2025|05/03/2025|100|4||porcentaje
70|233|2|01/03/2025|05/03/2025|100|5||porcentaje
70|253|2|01/03/2025|05/03/2025|100|4||porcentaje
70|262|2|01/03/2025|05/03/2025|100|4.5||porcentaje
70|263|2|01/03/2025|05/03/2025|100|5||porcentaje
70|266|2|01/03/2025|05/03/2025|100|4.5||porcentaje
